INFO 2023-01-03 22:10:37,715 basehttp 10924 14788 "POST /admin/login/?next=/admin/authtoken/tokenproxy/ HTTP/1.1" 302 0
INFO 2023-01-03 22:10:37,825 basehttp 10924 14788 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 16354
WARNING 2023-01-03 22:11:00,701 log 10924 14788 Method Not Allowed: /users/auth/login/
WARNING 2023-01-03 22:11:00,703 basehttp 10924 14788 "GET /users/auth/login/ HTTP/1.1" 405 17761
INFO 2023-01-03 22:11:17,267 basehttp 10924 14788 "POST /users/auth/login/ HTTP/1.1" 200 17325
INFO 2023-01-03 22:11:17,342 basehttp 10924 14788 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:17,465 basehttp 10924 14788 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:17,567 basehttp 10924 14788 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:17,578 basehttp 10924 14788 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
WARNING 2023-01-03 22:11:38,687 log 10924 14788 Method Not Allowed: /users/auth/logout/
WARNING 2023-01-03 22:11:38,688 basehttp 10924 14788 "GET /users/auth/logout/ HTTP/1.1" 405 16754
INFO 2023-01-03 22:11:41,196 basehttp 10924 14788 "POST /users/auth/logout/ HTTP/1.1" 200 16725
INFO 2023-01-03 22:11:41,493 basehttp 10924 14788 "GET /__debug__/history_sidebar/?store_id=d4ab4c997b044cdd929cbcfc80a87d23 HTTP/1.1" 200 9878
INFO 2023-01-03 22:11:48,009 basehttp 10924 14788 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 302 0
INFO 2023-01-03 22:11:48,082 basehttp 10924 14788 "GET /admin/login/?next=/admin/authtoken/tokenproxy/ HTTP/1.1" 200 11976
INFO 2023-01-03 22:11:48,142 basehttp 10924 14788 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,148 basehttp 10924 12224 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,149 basehttp 10924 4396 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,153 basehttp 10924 14296 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,155 basehttp 10924 14968 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,317 basehttp 10924 14296 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,319 basehttp 10924 4396 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,519 basehttp 10924 4396 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-01-03 22:11:48,538 basehttp 10924 14296 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,201 basehttp 10924 14296 "POST /admin/login/?next=/admin/authtoken/tokenproxy/ HTTP/1.1" 302 0
INFO 2023-01-03 22:11:59,336 basehttp 10924 14296 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 16355
INFO 2023-01-03 22:11:59,376 basehttp 10924 14296 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,378 basehttp 10924 12224 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,390 basehttp 10924 4396 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,393 basehttp 10924 14788 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,398 basehttp 10924 10288 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,399 basehttp 10924 14296 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,399 basehttp 10924 14968 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,403 basehttp 10924 4396 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,409 basehttp 10924 12224 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,619 basehttp 10924 12224 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,697 basehttp 10924 12224 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,697 basehttp 10924 4396 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,738 basehttp 10924 4396 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-01-03 22:11:59,749 basehttp 10924 4396 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2023-01-04 19:08:04,736 autoreload 6272 3584 Watching for file changes with StatReloader
WARNING 2023-01-04 19:08:36,676 log 6272 1836 Not Found: /
WARNING 2023-01-04 19:08:36,677 basehttp 6272 1836 "GET / HTTP/1.1" 404 12334
INFO 2023-01-04 19:08:36,705 basehttp 6272 1836 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:36,719 basehttp 6272 1836 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:36,871 basehttp 6272 1836 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:36,950 basehttp 6272 1836 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
WARNING 2023-01-04 19:08:37,242 log 6272 1836 Not Found: /favicon.ico
WARNING 2023-01-04 19:08:37,243 basehttp 6272 1836 "GET /favicon.ico HTTP/1.1" 404 12395
INFO 2023-01-04 19:08:49,219 basehttp 6272 1836 "GET /admin/ HTTP/1.1" 200 13939
INFO 2023-01-04 19:08:49,244 basehttp 6272 6956 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,244 basehttp 6272 11024 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,244 basehttp 6272 1836 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,254 basehttp 6272 11024 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,255 basehttp 6272 6956 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,364 basehttp 6272 6956 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,375 basehttp 6272 6956 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,408 basehttp 6272 11024 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,408 basehttp 6272 6956 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,503 basehttp 6272 6956 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,504 basehttp 6272 11024 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2023-01-04 19:08:49,509 basehttp 6272 1836 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,839 basehttp 6272 1836 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 16355
INFO 2023-01-04 19:08:53,863 basehttp 6272 1836 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,864 basehttp 6272 6956 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,865 basehttp 6272 1508 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,866 basehttp 6272 11024 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2023-01-04 19:08:53,882 basehttp 6272 1836 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
